day,ticks,food,death_cause
2,1099,0,starvation
3,1142,1,enemy
4,1099,0,starvation
4,1016,0,starvation
4,14,0,enemy
4,999,0,starvation
4,161,0,enemy
4,999,0,starvation
4,999,0,starvation
5,1322,1,enemy
5,529,0,enemy
6,1099,0,starvation
7,1813,2,enemy
7,312,0,enemy
7,918,0,starvation
8,1099,0,starvation
9,1099,0,starvation
10,1602,2,enemy
10,1078,1,enemy
11,1099,0,starvation
12,1099,0,starvation
13,1099,0,starvation
13,22,0,enemy
14,2227,2,enemy
15,1099,0,starvation
15,899,0,starvation
15,999,0,starvation
15,367,0,enemy
15,383,0,enemy
16,1455,1,enemy
17,1421,2,enemy
17,999,0,starvation
17,695,1,enemy
17,899,0,starvation
17,899,0,starvation
17,799,0,starvation
17,999,0,starvation
17,145,1,enemy
17,679,0,starvation
17,454,0,enemy
19,2718,3,enemy
19,234,0,enemy
20,1099,0,starvation
20,781,0,starvation
20,799,0,starvation
20,289,0,enemy
20,861,2,enemy
20,999,0,starvation
20,894,1,enemy
20,374,0,enemy
21,1099,0,starvation
21,700,0,starvation
22,1840,2,enemy
23,1480,2,enemy
24,1381,2,enemy
24,799,0,starvation
24,999,0,starvation
24,332,1,enemy
25,1099,0,starvation
27,2711,1,starvation
27,699,0,starvation
28,1099,0,starvation
29,1202,1,enemy
29,795,0,starvation
29,363,1,enemy
30,1130,2,enemy
30,54,0,enemy
30,260,0,enemy
30,330,0,enemy
30,699,0,starvation
30,946,2,enemy
30,799,0,starvation
31,1151,1,enemy
32,1099,0,starvation
32,999,0,starvation
33,1351,2,enemy
33,73,0,enemy
33,700,0,starvation
33,799,0,starvation
34,1099,0,starvation
34,700,0,starvation
35,1395,2,enemy
35,77,0,enemy
36,1449,1,enemy
36,68,0,enemy
36,899,0,starvation
36,947,1,enemy
36,680,1,enemy
