day,ticks,food,death
1,619,0,starvation
1,25,0,enemy
3,2314,3,enemy
3,16,0,enemy
3,369,1,enemy
4,1172,0,enemy
4,141,1,enemy
4,128,0,enemy
4,17,0,enemy
4,383,0,enemy
7,4205,3,enemy
8,1521,1,enemy
10,2516,2,enemy
10,25,0,enemy
10,316,0,enemy
11,602,1,enemy
11,31,0,enemy
11,717,0,enemy
12,964,1,enemy
13,1183,1,enemy
14,2003,2,enemy
15,1936,1,enemy
19,4568,4,enemy
19,138,0,enemy
19,813,0,enemy
19,134,0,enemy
20,388,1,enemy
20,32,0,enemy
20,800,0,enemy
21,1574,2,enemy
22,1456,1,enemy
23,404,0,enemy
25,3998,3,enemy
26,1408,1,enemy
26,5,0,enemy
27,1351,1,enemy
28,1184,1,enemy
29,675,1,enemy
29,963,0,enemy
29,42,0,enemy
30,1177,1,enemy
31,1457,1,enemy
32,1212,1,enemy
32,249,1,enemy
32,485,0,enemy
34,1503,1,enemy
34,1173,1,enemy
35,505,0,enemy
36,2042,2,enemy
37,798,0,enemy
37,935,1,enemy
38,549,1,enemy
38,389,0,enemy
39,1034,1,enemy
39,816,0,enemy
40,342,1,enemy
40,56,0,enemy
40,546,0,enemy
41,872,1,enemy
41,1019,1,enemy
42,693,0,enemy
43,1299,1,enemy
43,439,1,enemy
43,123,0,enemy
44,1552,1,enemy
44,583,0,enemy
45,298,0,enemy
45,97,0,enemy
45,369,0,enemy
46,1139,2,enemy
47,1620,1,enemy
47,434,0,enemy
47,209,1,enemy
48,290,0,enemy
49,1392,0,enemy
51,3239,3,enemy
54,4394,4,enemy
54,789,0,enemy
54,143,0,enemy
55,896,1,enemy
55,159,0,enemy
57,2001,1,enemy
57,1058,1,enemy
59,2590,2,enemy
60,857,1,enemy
61,1757,1,enemy
61,517,1,enemy
62,488,0,enemy
62,109,0,enemy
62,581,0,enemy
64,2718,3,enemy
64,267,0,enemy
64,69,0,enemy
66,2698,2,enemy
67,1127,1,enemy
68,851,1,enemy
69,1910,1,enemy
73,5736,4,enemy
73,399,1,enemy
74,1492,1,enemy
74,183,0,enemy
78,5465,4,enemy
79,1623,1,enemy
79,116,1,enemy
80,843,0,enemy
80,97,0,enemy
80,292,1,enemy
81,896,0,enemy
82,2513,2,enemy
83,583,0,enemy
83,575,1,enemy
83,271,0,enemy
84,706,1,enemy
86,3014,2,enemy
86,615,1,enemy
87,147,0,enemy
87,829,0,enemy
89,2209,2,enemy
89,895,1,enemy
90,370,0,enemy
90,1040,1,enemy
90,186,0,enemy
92,1606,1,enemy
92,868,1,enemy
92,224,0,enemy
92,220,0,enemy
93,1492,1,enemy
94,88,0,enemy
95,1869,2,enemy
95,824,1,enemy
96,1007,0,enemy
98,2442,2,enemy
99,1020,1,enemy
99,845,0,enemy
99,466,1,enemy
100,163,0,enemy
100,120,0,enemy
101,1319,1,enemy
101,264,0,enemy
101,965,1,enemy
102,1111,1,enemy
103,716,1,enemy
103,607,0,enemy
104,1930,1,enemy
106,2297,2,enemy
106,343,0,enemy
107,696,1,enemy
107,1051,1,enemy
108,212,0,enemy
108,347,0,enemy
109,1387,1,enemy
109,314,0,enemy
113,6119,5,enemy
115,3104,3,enemy
117,2375,1,enemy
117,499,0,enemy
119,2893,3,enemy
120,1226,1,enemy
121,862,1,enemy
123,3443,2,enemy
124,512,0,enemy
124,1004,1,enemy
125,1598,1,enemy
127,1786,2,enemy
127,217,0,enemy
128,1878,1,enemy
129,1006,1,enemy
130,1943,2,enemy
130,205,0,enemy
131,1579,1,enemy
133,2631,2,enemy
133,215,0,enemy
136,3209,3,enemy
138,3219,2,enemy
140,3054,2,enemy
141,709,1,enemy
141,936,1,enemy
142,621,0,enemy
142,870,1,enemy
142,181,0,enemy
143,591,0,enemy
143,448,1,enemy
144,969,1,enemy
144,203,0,enemy
144,255,0,enemy
145,1516,1,enemy
145,465,0,enemy
1,899,0,starvation
1,389,2,enemy
1,1271,1,enemy
1,125,0,enemy
1,1491,0,enemy
2,2087,2,enemy
2,900,1,enemy
2,1075,1,enemy
2,1369,1,enemy
2,525,0,enemy
2,246,1,enemy
1,130,0,starvation
1,619,0,starvation
3,2244,3,enemy
4,1064,1,enemy
4,58,0,enemy
4,1226,1,enemy
5,562,0,enemy
5,410,1,enemy
5,230,0,enemy
6,451,0,enemy
7,1330,1,enemy
7,1215,1,enemy
8,513,1,enemy
8,180,0,enemy
8,63,0,enemy
9,942,0,enemy
9,77,0,enemy
10,1707,2,enemy
10,696,0,enemy
11,1052,1,enemy
11,334,0,enemy
13,2169,2,enemy
13,317,0,enemy
13,157,1,enemy
14,774,0,enemy
14,24,0,enemy
15,1504,1,enemy
16,1344,1,enemy
17,2502,2,enemy
18,406,0,enemy
19,2212,2,enemy
21,3116,3,enemy
22,591,0,enemy
23,1597,1,enemy
23,900,1,enemy
28,6109,4,enemy
29,1861,2,enemy
29,314,0,enemy
30,513,1,enemy
30,185,0,enemy
32,3226,2,enemy
33,1335,1,enemy
33,739,1,enemy
34,821,0,enemy
34,470,1,enemy
35,1228,1,enemy
36,552,0,enemy
37,1974,2,enemy
38,1992,1,enemy
38,129,0,enemy
39,464,1,enemy
39,166,0,enemy
40,1257,1,enemy
41,1531,1,enemy
41,508,0,enemy
42,1316,1,enemy
42,398,1,enemy
43,841,0,enemy
43,660,1,enemy
43,15,0,enemy
44,533,0,enemy
45,1395,1,enemy
45,920,1,enemy
45,26,0,enemy
48,3280,3,enemy
48,821,0,enemy
50,2191,2,enemy
50,847,1,enemy
51,1023,0,enemy
51,484,1,enemy
52,1042,1,enemy
52,485,0,enemy
52,52,0,enemy
54,1680,1,enemy
54,146,0,enemy
54,138,0,enemy
55,1072,1,enemy
55,874,1,enemy
56,654,0,enemy
57,1461,1,enemy
57,229,1,enemy
58,1097,0,enemy
58,973,1,enemy
59,664,1,enemy
62,4585,3,enemy
63,1056,1,enemy
63,1259,1,enemy
64,653,1,enemy
64,644,0,enemy
65,270,0,enemy
65,1164,1,enemy
1,619,0,starvation
2,1136,2,enemy
3,1051,1,enemy
3,481,0,enemy
4,1545,1,enemy
5,1198,1,enemy
5,364,1,enemy
7,2567,2,enemy
8,828,0,enemy
1,619,0,starvation
1,380,2,enemy
2,963,0,enemy
3,685,1,enemy
3,1001,1,enemy
3,301,0,enemy
5,2469,2,enemy
5,319,0,enemy
6,745,1,enemy
7,1010,1,enemy
7,677,0,enemy
8,1340,1,enemy
10,2281,2,enemy
10,559,0,enemy
11,1141,1,enemy
11,871,1,enemy
11,81,0,enemy
14,3171,2,enemy
15,1262,1,enemy
15,1217,1,enemy
18,3650,3,enemy
18,417,0,enemy
19,948,1,enemy
19,493,0,enemy
20,698,1,enemy
20,869,1,enemy
21,908,0,enemy
22,1122,1,enemy
1,2125,3,enemy
1,958,1,enemy
1,451,0,enemy
1,823,1,enemy
1,766,0,enemy
2,3686,3,enemy
2,277,0,enemy
2,390,1,enemy
3,4952,3,enemy
3,539,1,enemy
3,1437,1,enemy
1,1099,0,starvation
1,3512,4,enemy
2,3805,3,enemy
2,449,0,enemy
2,233,0,enemy
2,82,1,enemy
2,458,0,enemy
2,2822,2,enemy
3,1123,1,enemy
3,2747,2,enemy
3,1420,1,enemy
3,396,0,enemy
3,407,0,enemy
3,534,1,enemy
3,512,1,enemy
4,1259,1,enemy
4,423,0,enemy
4,1202,1,enemy
4,288,0,enemy
4,621,0,enemy
4,643,1,enemy
4,631,0,enemy
4,479,1,enemy
5,2250,2,enemy
5,639,0,enemy
5,1702,1,enemy
5,394,0,enemy
5,474,1,enemy
5,1768,1,enemy
6,2133,2,enemy
6,902,1,enemy
6,2356,1,enemy
6,2137,2,enemy
7,2484,2,enemy
7,468,0,enemy
7,2037,2,enemy
7,925,1,enemy
7,790,0,enemy
7,1002,1,enemy
8,1551,1,enemy
8,4300,3,enemy
8,1061,1,enemy
8,40,0,enemy
8,313,1,enemy
8,619,0,enemy
9,1367,1,enemy
9,294,0,enemy
9,784,1,enemy
9,2473,2,enemy
9,1466,1,enemy
10,1799,1,enemy
10,702,1,enemy
10,901,0,enemy
10,1807,2,enemy
10,342,0,enemy
10,2566,2,enemy
11,1278,1,enemy
11,210,0,enemy
11,550,1,enemy
11,145,0,enemy
11,1104,1,enemy
11,100,0,enemy
11,1548,1,enemy
12,2591,1,enemy
12,344,1,enemy
12,373,0,enemy
12,372,1,enemy
12,219,0,enemy
12,160,0,enemy
12,940,1,enemy
12,1507,1,enemy
12,826,1,enemy
13,5902,4,enemy
13,716,0,enemy
13,861,1,enemy
14,2754,2,enemy
